Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES
shinola-shinola-hotel-store,SHINOLA - SHINOLA HOTEL STORE,TRUE,1424 Woodward Ave,"",48226,Detroit,Michigan,USA,(+1) 313-356-3118,,https://www.shinola.com/pages/shinola-hotel-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - SHINOLA HOTEL STORE,"",SHINOLA - SHINOLA HOTEL STORE,"",42.334641,-83.0486603,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shinola-somerset-store,SHINOLA - SOMERSET STORE,TRUE,2801 W Big Beaver Rd Unit G-211,"",48084,Troy,Michigan,USA,(+1) 248-283-3601,,https://www.shinola.com/pages/somerset-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - SOMERSET STORE,"",SHINOLA - SOMERSET STORE,"",42.559878,-83.183762,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shinola-tysons-corner-store,SHINOLA - TYSONS CORNER STORE,TRUE,7983 Tysons Corner Center Ste G5U,"",22102,Tysons Corner,Virginia,USA,(+1) 571-489-6085,,https://www.shinola.com/pages/tysons-corner-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - TYSONS CORNER STORE,"",SHINOLA - TYSONS CORNER STORE,"",38.918225,-77.2215775,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shinola-venice,SHINOLA - VENICE,TRUE,1623 Abbot Kinney Blvd,"",90291,Los Angeles,California,USA,(+1) 424-322-2177,,https://www.shinola.com/pages/venice-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - VENICE,"",SHINOLA - VENICE,"",33.9898255,-118.4632657,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shinola-washington-dc-store,SHINOLA - WASHINGTON DC STORE,TRUE,1631 14th Street NW,"",20009,Washington,District of Columbia,USA,(+1) 202-470-0200,,https://www.shinola.com/pages/washington-dc-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - WASHINGTON DC STORE,"",SHINOLA - WASHINGTON DC STORE,"",38.912402,-77.031575,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shinola-wicker-park-store,SHINOLA - WICKER PARK STORE,TRUE,1619 N. Damen,"",60647,Chicago,Illinois,USA,(+1) 773-904-2417,,https://www.shinola.com/pages/wicker-park-store/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SHINOLA - WICKER PARK STORE,"",SHINOLA - WICKER PARK STORE,"",41.9111348,-87.6771814,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
shreve-crump-low,SHREVE CRUMP & LOW,TRUE,39 Newbury Street,"",2116,Boston,Massachusetts,USA,(+1) 617-267-9100,,,,,,,,,,,SHREVE CRUMP & LOW,"",SHREVE CRUMP & LOW,"",42.3524086,-71.0731994,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
sid-fontan-jewelers,SID & FONTAN JEWELERS,TRUE,318 SW 145th Terrace store # 15,"",33027,Pembroke Pines,Florida,USA,,,,,,,,,,,,SID & FONTAN JEWELERS,"",SID & FONTAN JEWELERS,"",26.0055425,-80.3370096,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
sid-mashburn-net-a-porter,SID MASHBURN NET-A-PORTER,TRUE,"1198 Howell Mill Road, NJ Warehouse","",30318,Atlanta,Georgia,USA,(+1) 404-350-7132,,,,,,,,,,,SID MASHBURN NET-A-PORTER,"",SID MASHBURN NET-A-PORTER,"",33.7867301,-84.4122175,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
silva-brothers,SILVA BROTHERS,TRUE,3680 S. Maryland PKWY Space #114,"",89169,Las Vegas,Nevada,USA,(+1) 702-339-9920,,,,,,,,,,,SILVA BROTHERS,"",SILVA BROTHERS,"",36.1237065,-115.1353065,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
simmons-fine-jewelry,SIMMONS FINE JEWELRY,TRUE,1220 N Olive Ave,"",83642,Meridian,Idaho,USA,(+1) 208-888-2799,,,,,,,,,,,SIMMONS FINE JEWELRY,"",SIMMONS FINE JEWELRY,"",43.6160015,-116.3551675,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>, <a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
simon-jewelers,SIMON JEWELERS,TRUE,"North Main Street, 1345","",27262,High Point,North Carolina,USA,,,http://www.simonjewelers.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SIMON JEWELERS,"",SIMON JEWELERS,"",35.9725552,-80.0174667,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
simpson-jewelers,SIMPSON JEWELERS,TRUE,4922 13Th Avenue,"",11219,Brooklyn,New York,USA,(+1) 718-871-0120,,,,,,,,,,,SIMPSON JEWELERS,"",SIMPSON JEWELERS,"",40.6347602,-73.9928213,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
smith-bevill-jewelers,SMITH & BEVILL JEWELERS,TRUE,"Southwest Beaverton Hillsdale Highway, 9875","",97005,Beaverton,Oregon,USA,,,http://smithandbevill.com/?utm_source=gmb&utm_medium=organic/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,SMITH & BEVILL JEWELERS,"",SMITH & BEVILL JEWELERS,"",45.4869225,-122.7780695,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
southwest-sports,SOUTHWEST SPORTS,TRUE,"6320 MCLEOD DR, STE 4","",89120,Las Vegas,Nevada,USA,,,,,,,,,,,,SOUTHWEST SPORTS,"",SOUTHWEST SPORTS,"",36.074818,-115.110064,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
sparks-black-rifle,SPARKS BLACK RIFLE,TRUE,1450 E. PRATER WAY # 105,"",89434,SPARKS,Nevada,USA,,,,,,,,,,,,SPARKS BLACK RIFLE,"",SPARKS BLACK RIFLE,"",39.5434619,-119.7174869,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
spartan-arms-range-supplies,SPARTAN ARMS & RANGE SUPPLIES,TRUE,8350 N. Decatur Blvd.,"",89131,Las Vegas,Nevada,USA,(+1) 702-749-9600,,,,,,,,,,,SPARTAN ARMS & RANGE SUPPLIES,"",SPARTAN ARMS & RANGE SUPPLIES,"",36.3125567,-115.2067108,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
sportique,SPORTIQUE,TRUE,808 Sutter St,"",94109,San Francisco,California,USA,,,,,,,,,,,,SPORTIQUE,"",SPORTIQUE,"",37.7887445,-122.4138063,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
sportman-s-warehouse,SPORTMAN'S WAREHOUSE,TRUE,5647 Centennial Center Blvd,"",89149,Las Vegas,Nevada,USA,(+1) 702-474-1100,,,,,,,,,,,SPORTMAN'S WAREHOUSE,"",SPORTMAN'S WAREHOUSE,"",36.2636611,-115.259217,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
sportman-s-warehouse-2,SPORTMAN'S WAREHOUSE,TRUE,701 Marks St,"",89014,Henderson,Nevada,USA,(+1) 702-342-6400,,,,,,,,,,,SPORTMAN'S WAREHOUSE,"",SPORTMAN'S WAREHOUSE,"",36.0673894,-115.0381656,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
sportman-s-warehouse-3,SPORTMAN'S WAREHOUSE,TRUE,1443 S Carson St,"",89701,Carson City,Nevada,USA,(+1) 775-884-2100,,,,,,,,,,,SPORTMAN'S WAREHOUSE,"",SPORTMAN'S WAREHOUSE,"",39.1550482,-119.7659473,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
sportman-s-warehouse-4,SPORTMAN'S WAREHOUSE,TRUE,3306 Kietzke Lane,"",89502,Reno,Nevada,USA,(+1) 775-828-1500,,,,,,,,,,,SPORTMAN'S WAREHOUSE,"",SPORTMAN'S WAREHOUSE,"",39.4919733,-119.7858493,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
starbuy,STARBUY,TRUE,112-122 McEvoy Street,"",2015,Alexandria,New South Wales,Australia,(+61)280690420,sales@starbuy.com.au,starbuy.com.au,,,,,,,,,STARBUY,"",STARBUY,"",-33.9038582,151.1966757,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
stephen-silver-fine-jewelry,STEPHEN SILVER FINE JEWELRY,TRUE,"500 El Camino Real, Suite 300","",94025,Menlo Park,California,USA,(+1) 650-325-9500,,,,,,,,,,,STEPHEN SILVER FINE JEWELRY,"",STEPHEN SILVER FINE JEWELRY,"",37.4504693,-122.1766123,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
stoll-co,STOLL & CO.,TRUE,1801 South Metro Parkway,"",45459,Dayton,Ohio,USA,,,,,,,,,,,,STOLL & CO.,"",STOLL & CO.,"",39.6532525,-84.1231469,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
streetwear,STREETWEAR,TRUE,3859 S Valley View Blvd Ste 10,"",89103,Las Vegas,Nevada,USA,,,,,,,,,,,,STREETWEAR,"",STREETWEAR,"",36.1211259,-115.1913707,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
studio-24e,STUDIO 24E,TRUE,21 E. Main St.,"",21788,Thurmont,Maryland,USA,,,,,,,,,,,,STUDIO 24E,"",STUDIO 24E,"",39.6235534,-77.4103087,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
summerlin-jewelers,SUMMERLIN JEWELERS,TRUE,2221 N Rampart Blvd,"",89128,Las Vegas,Nevada,USA,(+1) 702-243-8240,,,,,,,,,,,SUMMERLIN JEWELERS,"",SUMMERLIN JEWELERS,"",36.2019618,-115.2833186,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>","","","",,"","","",,"","","",,"","","",,"","",""
swiss-clock-llc,SWISS CLOCK LLC,TRUE,4703 Prescott AVE STE B,"",68506,Lincoln,Nebraska,USA,(+1) 402-405-0788,info@theswissclock.com,,,,,,,,,,SWISS CLOCK LLC,"",SWISS CLOCK LLC,"",40.7726011,-96.6552195,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
swiss-watch-gallery,SWISS WATCH GALLERY,TRUE,940 The Shops At Mission Viejo,"",92691,Mission Viejo,California,USA,(+1) 949-364-2500,,,,,,,,,,,SWISS WATCH GALLERY,"",SWISS WATCH GALLERY,"",33.5576683,-117.6695391,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
t-bird-jewelers,T-BIRD JEWELERS,TRUE,410 So. Rampart #140,"",89145,Las Vegas,Nevada,USA,(+1) 702-256-3900,,,,,,,,,,,T-BIRD JEWELERS,"",T-BIRD JEWELERS,"",36.1671573,-115.2860042,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
t-bird-jewels,T-BIRD JEWELS,TRUE,1013 S. Rampart Blvd,"",89147,Las Vegas,Nevada,USA,(+1) 702-256-3900,,,,,,,,,,,T-BIRD JEWELS,"",T-BIRD JEWELS,"",36.1605876,-115.2925096,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
tag-heuer-boutique-yorkdale,TAG HEUER BOUTIQUE YORKDALE,TRUE,"3401 Dufferin Street Yorkdale Shopping Center, Suite 133","",M6A 2T9,North York,Ontario,Canada,(+1) 416-792-7084,,,,,,,,,,,TAG HEUER BOUTIQUE YORKDALE,"",TAG HEUER BOUTIQUE YORKDALE,"",43.7254088,-79.4523582,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/TAG-HEUER"">TAG-HEUER</A>,","","","",,"","","",,"","","",,"","","",,"","",""
tany-s,TANY S,TRUE,Sunridge Mall  #256 - 2525 - 36 ST. N.E.,"",T1Y 5T4,Calgary,Alberta,Canada,(+1) 403-286-6643,,https://tanysjewellery.com/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,TANY S,"",TANY S,"",51.0743725,-113.9863071,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
taylor-fine-art,TAYLOR FINE ART,TRUE,"State Route 179, 336 Suite B124","",86336,Sedona,Arizona,USA,,,www.reneetaylorgallery.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,TAYLOR FINE ART,"",TAYLOR FINE ART,"",34.8623832,-111.7633552,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
teddy-baldassarre,TEDDY BALDASSARRE,TRUE,2510 St. Clair Ave NE Ste#102,"",44114,Cleveland,Ohio,USA,(+1) 440-371-4869,,,,,,,,,,,TEDDY BALDASSARRE,"",TEDDY BALDASSARRE,"",41.5108745,-81.6751603,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
ten-ten-watches,TEN TEN WATCHES,TRUE,"East Veterans Highway, 1135","",8527,Jackson Township,New Jersey,USA,,,https://www.tentenwatch.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,TEN TEN WATCHES,"",TEN TEN WATCHES,"",40.0845938,-74.2665386,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
tenenbaum-jewelers,TENENBAUM JEWELERS,TRUE,4310 Westheimer Rd #100,"",77027,Houston,Texas,USA,(+1) 713-629-7444,,https://www.tenenbaumjewelers.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,TENENBAUM JEWELERS,"",TENENBAUM JEWELERS,"",29.7417066,-95.4506554,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
tenenbaum-jewelers-2,TENENBAUM JEWELERS,TRUE,14230 San Pedro Ave,"",78232,San Antonio,Texas,USA,(+1) 210-493-8080,,https://www.tenenbaumjewelers.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,TENENBAUM JEWELERS,"",TENENBAUM JEWELERS,"",29.5704505,-98.4794878,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
terlohr-werkstattgalerie,TERLOHR WERKSTATTGALERIE,TRUE,Bahnhofstrasse 4,"",59939,Olsberg,North Rhine‑Westphalia,Germany,(+49)29626757,info@terlohr.de,www.terlohr.de,,,,,,,,,TERLOHR WERKSTATTGALERIE,"",TERLOHR WERKSTATTGALERIE,"",51.3542972,8.4899503,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-11-inc,THE 11 INC.,TRUE,"24 Karl Fraser Road
Toronto, Ontario M3C 0E8","",M3C 0E8,Toronto,Ontario,Canada,(+1) 647-345-5611,,https://the11inc.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,THE 11 INC.,"",THE 11 INC.,"",43.7355179,-79.3450065,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/SHINOLA"">SHINOLA</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-goldsmith,THE GOLDSMITH,TRUE,"3200 S LAS VEGAS BLVD, #1290","",89109,Las Vegas,Nevada,USA,(+1) 702-875-5112,,,,,,,,,,,THE GOLDSMITH,"",THE GOLDSMITH,"",36.1274883,-115.1698411,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-independent-collective,THE INDEPENDENT COLLECTIVE,TRUE,350 George St,"",2000,Sydney,New South Wales,Australia,(+61)282013319,hello@theindependentcollective.com,www.theindependentcollective.com,,,,,,,,,THE INDEPENDENT COLLECTIVE,"",THE INDEPENDENT COLLECTIVE,"",-33.8669527,151.2074211,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-jewelers,THE JEWELERS,TRUE,2400 WESTERN AVE,"",89102,Las Vegas,Nevada,USA,(+1) 702-382-1234,,,,,,,,,,,THE JEWELERS,"",THE JEWELERS,"",36.1457956,-115.1669592,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-jewelers-of-las-vegas,THE JEWELERS OF LAS VEGAS,TRUE,8502 W Lake Mead,"",89102,Las Vegas,Nevada,USA,(+1) 702-382-8342,,,,,,,,,,,THE JEWELERS OF LAS VEGAS,"",THE JEWELERS OF LAS VEGAS,"",36.1987177,-115.2798227,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-jewelry-district,THE JEWELRY DISTRICT,TRUE,4300 Meadows Lane Suite #2060,"",89107,Las Vegas,Nevada,USA,(+1) 702-822-6607,,,,,,,,,,,THE JEWELRY DISTRICT,"",THE JEWELRY DISTRICT,"",36.1724734,-115.1965922,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-lave-gallery,THE LAVE GALLERY,TRUE,3533 Valley View,"",89103,Las Vegas,Nevada,USA,(+1) 702-823-4474,,,,,,,,,,,THE LAVE GALLERY,"",THE LAVE GALLERY,"",36.1255452,-115.1905057,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-source-jewelers,THE SOURCE JEWELERS,TRUE,3300 Monroe Ave. Suite 304,"",14618,Rochester,New York,USA,(+1) 585-385-6570,,,,,,,,,,,THE SOURCE JEWELERS,"",THE SOURCE JEWELERS,"",43.1041334,-77.5375211,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-trinity-collection,THE TRINITY COLLECTION,TRUE,27 Via Mizner,"",33480,Palm Beach,Florida,USA,,trintytime@aol.com,,,,,,,,,,THE TRINITY COLLECTION,"",THE TRINITY COLLECTION,"",26.7010793,-80.039848,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-trinity-collection-2,THE TRINITY COLLECTION,TRUE,"Edward T Wright 111, 50 Main St","",2554,Nantucket,Massachusetts,USA,(+1) 508-228-7557,trintytime@aol.com,,,,,,,,,,THE TRINITY COLLECTION,"",THE TRINITY COLLECTION,"",41.283097,-70.09892,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
the-watch-connection,THE WATCH CONNECTION,TRUE,3033 Bristol Street,"",92626,Costa Mesa,California,USA,(+1) 714-432-8200,chad@watchconnection.com,,,,,,,,,,THE WATCH CONNECTION,"",THE WATCH CONNECTION,"",33.6817707,-117.8867123,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
thomas-k-mper,THOMAS KÄMPER,TRUE,Alsterdorfer Straße 30,"",22299,Hamburg,Hamburg,Germany,(+49)-40-460-17-15,info@uhrmacher-hamburg.com,www.uhrmacher-hamburg.com,,,,,,,,,THOMAS KÄMPER,"",THOMAS KÄMPER,"",53.596299,9.9977291,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
tick-tock-shop,TICK TOCK SHOP,TRUE,"North Circle Drive, 7","",80909,Colorado Springs,Colorado,USA,,,https://www.ticktockshoponline.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,TICK TOCK SHOP,"",TICK TOCK SHOP,"",38.833417,-104.7754199,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
time-and-gold-ltd,TIME AND GOLD LTD,TRUE,565 W Georgia Street,"",V6B 1Z5,Vancouver,British Columbia,Canada,(+1) 604-683-1812,info@timegold.ca,https://www.timegold.ca/?utm_source=WatchDNA.com&utm_medium=Store+locator,https://cdn.shopify.com/s/files/1/0755/6235/2943/files/Time_And_Gold.jpg?v=1750730622,,,,,,,,TIME AND GOLD LTD,"",TIME AND GOLD LTD,"",49.2816021,-123.1164085,,"","","","","","","","","",NORQAIN,"<a href=""https://watchdna.com/blogs/history/BAUME-MERCIER"">BAUME ET MERCIER</A>, <a href=""https://watchdna.com/blogs/history/BREITLING"">BREITLING</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MEISTERSINGER"">MEISTERSINGER</A>, <a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/TAG-HEUER"">TAG HEUER</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>, <a href=""https://watchdna.com/blogs/history/ZENITH"">ZENITH</A>,","","","",,"","","",,"","","",,"","","",,"","",""
time-machine-plus,TIME MACHINE PLUS,TRUE,5605 FM 423 Suite 500 PMB 372,"",75036,Frisco,Texas,USA,(+1) 888-898-4795,,,,,,,,,,,TIME MACHINE PLUS,"",TIME MACHINE PLUS,"",33.12603,-96.8918119,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
time-source-jewelers,TIME SOURCE JEWELERS,TRUE,332 New York Ave,"",11743,Huntington,New York,USA,,,,,,,,,,,,TIME SOURCE JEWELERS,"",TIME SOURCE JEWELERS,"",40.870926,-73.426049,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
time-square-jewelers,TIME SQUARE JEWELERS,TRUE,"1300 East Plumb Ln.,Suite B3","",89502,Reno,Nevada,USA,(+1) 775-825-0988,,,,,,,,,,,TIME SQUARE JEWELERS,"",TIME SQUARE JEWELERS,"",39.5041456,-119.7827172,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>","","","",,"","","",,"","","",,"","","",,"","",""
time-s-square,TIME'S SQUARE,TRUE,9350 Yonge Street  Hillcrest Mall,"",L4C 1V4,Richmond Hill,Ontario,Canada,(+1) 905-737-8105,,,,,,,,,,,TIME'S SQUARE,"",TIME'S SQUARE,"",43.8548545,-79.436539,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
timemaster-jewellers-ltd,TIMEMASTER JEWELLERS LTD,TRUE,208-32900 South Fraser Way,"",V2S 5A1,Abbotsford,British Columbia,Canada,(+1) 604-556-7740,,https://www.timemasterjewellers.com/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,TIMEMASTER JEWELLERS LTD,"",TIMEMASTER JEWELLERS LTD,"",49.0490854,-122.3124036,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
